country,year,sex,list,cause,cdr
GBRTENW,2005,1,interm,64,57
GBRTENW,2005,1,interm,65,1
GBRTENW,2005,1,interm,66,475
GBRTENW,2005,1,interm,67,23
GBRTENW,2005,1,interm,68,14
GBRTENW,2005,1,interm,69,509
GBRTENW,2005,1,interm,70,50
GBRTENW,2005,1,interm,71,13
GBRTENW,2005,1,interm,72,69
GBRTENW,2005,1,interm,73,111
GBRTENW,2005,1,interm,74,59
GBRTENW,2005,1,interm,75,13
GBRTENW,2005,1,interm,76,112
GBRTENW,2005,1,interm,77,106
GBRTENW,2005,1,interm,78,36
GBRTENW,2005,1,interm,79,23
GBRTENW,2005,1,interm,80,21
GBRTENW,2005,1,interm,81,21
GBRTENW,2005,1,interm,82,52
GBRTENW,2005,1,interm,83,23
GBRTENW,2005,1,interm,84,50
GBRTENW,2005,1,interm,85,12
GBRTENW,2005,1,interm,86,53
GBRTENW,2005,1,interm,87,83
GBRTENW,2005,1,interm,88,9
GBRTENW,2005,1,interm,89,0
GBRTENW,2005,1,interm,90,41
GBRTENW,2005,1,interm,91,37
GBRTENW,2005,1,interm,92,4
GBRTENW,2005,1,interm,93,85
GBRTENW,2005,1,interm,94,60
GBRTENW,2005,1,interm,95,5
GBRTENW,2005,1,interm,96,5
GBRTENW,2005,1,interm,97,4
GBRTENW,2005,1,interm,98,21
GBRTENW,2005,1,interm,99,12
GBRTENW,2005,1,interm,100,94
GBRTENW,2005,1,interm,101,3
GBRTENW,2005,1,interm,102,57
GBRTENW,2005,1,interm,103,7
GBRTENW,2005,1,interm,104,51
GBRTENW,2006,1,interm,0,9114
GBRTENW,2006,1,interm,1,45
GBRTENW,2006,1,interm,2,2
GBRTENW,2006,1,interm,3,10
GBRTENW,2006,1,interm,4,41
GBRTENW,2006,1,interm,5,6
GBRTENW,2006,1,interm,6,6
GBRTENW,2006,1,interm,7,5
GBRTENW,2006,1,interm,8,5
GBRTENW,2006,1,interm,9,5
GBRTENW,2006,1,interm,10,42
GBRTENW,2006,1,interm,11,162
