country,year,sex,list,cause,cdr
GBRTENW,2003,3,short,7,2523
GBRTENW,2003,3,short,8,1133
GBRTENW,2003,3,short,9,340
GBRTENW,2003,3,short,10,704
GBRTENW,2003,3,short,11,762
GBRTENW,2003,3,short,12,482
GBRTENW,2003,3,short,13,123
GBRTENW,2003,3,short,14,180
GBRTENW,2003,3,short,15,73
GBRTENW,2003,3,short,16,332
GBRTENW,2004,3,short,0,9643
GBRTENW,2004,3,short,1,96
GBRTENW,2004,3,short,2,2622
GBRTENW,2004,3,short,3,20
GBRTENW,2004,3,short,4,145
GBRTENW,2004,3,short,5,280
GBRTENW,2004,3,short,6,278
GBRTENW,2004,3,short,7,2330
GBRTENW,2004,3,short,8,1028
GBRTENW,2004,3,short,9,317
GBRTENW,2004,3,short,10,627
GBRTENW,2004,3,short,11,718
GBRTENW,2004,3,short,12,478
GBRTENW,2004,3,short,13,119
GBRTENW,2004,3,short,14,184
GBRTENW,2004,3,short,15,72
GBRTENW,2004,3,short,16,331
GBRTENW,2005,3,short,0,9576
GBRTENW,2005,3,short,1,117
GBRTENW,2005,3,short,2,2609
GBRTENW,2005,3,short,3,21
GBRTENW,2005,3,short,4,142
GBRTENW,2005,3,short,5,285
GBRTENW,2005,3,short,6,288
GBRTENW,2005,3,short,7,2241
GBRTENW,2005,3,short,8,978
GBRTENW,2005,3,short,9,302
GBRTENW,2005,3,short,10,645
GBRTENW,2005,3,short,11,751
GBRTENW,2005,3,short,12,479
GBRTENW,2005,3,short,13,119
GBRTENW,2005,3,short,14,197
GBRTENW,2005,3,short,15,72
GBRTENW,2005,3,short,16,330
GBRTENW,2006,3,short,0,9317
GBRTENW,2006,3,short,1,145
GBRTENW,2006,3,short,2,2602
GBRTENW,2006,3,short,3,19
GBRTENW,2006,3,short,4,136
GBRTENW,2006,3,short,5,285
GBRTENW,2006,3,short,6,286
GBRTENW,2006,3,short,7,2100
GBRTENW,2006,3,short,8,926
GBRTENW,2006,3,short,9,292
GBRTENW,2006,3,short,10,587
GBRTENW,2006,3,short,11,723
GBRTENW,2006,3,short,12,487
GBRTENW,2006,3,short,13,116
GBRTENW,2006,3,short,14,206
GBRTENW,2006,3,short,15,71
GBRTENW,2006,3,short,16,335
GBRTENW,2007,3,short,0,9270
GBRTENW,2007,3,short,1,154
GBRTENW,2007,3,short,2,2606
GBRTENW,2007,3,short,3,19
GBRTENW,2007,3,short,4,136
GBRTENW,2007,3,short,5,316
GBRTENW,2007,3,short,6,305
GBRTENW,2007,3,short,7,2046
GBRTENW,2007,3,short,8,885
GBRTENW,2007,3,short,9,281
GBRTENW,2007,3,short,10,576
GBRTENW,2007,3,short,11,731
GBRTENW,2007,3,short,12,482
GBRTENW,2007,3,short,13,116
GBRTENW,2007,3,short,14,216
GBRTENW,2007,3,short,15,71
GBRTENW,2007,3,short,16,330
GBRTENW,2008,3,short,0,9288
GBRTENW,2008,3,short,1,121
GBRTENW,2008,3,short,2,2604
GBRTENW,2008,3,short,3,18
GBRTENW,2008,3,short,4,139
GBRTENW,2008,3,short,5,348
GBRTENW,2008,3,short,6,325
GBRTENW,2008,3,short,7,2001
GBRTENW,2008,3,short,8,875
GBRTENW,2008,3,short,9,272
GBRTENW,2008,3,short,10,597
GBRTENW,2008,3,short,11,751
GBRTENW,2008,3,short,12,484
GBRTENW,2008,3,short,13,118
GBRTENW,2008,3,short,14,225
GBRTENW,2008,3,short,15,70
GBRTENW,2008,3,short,16,340
GBRTENW,2009,3,short,0,8895
GBRTENW,2009,3,short,1,106
GBRTENW,2009,3,short,2,2569
GBRTENW,2009,3,short,3,19
GBRTENW,2009,3,short,4,132
GBRTENW,2009,3,short,5,336
GBRTENW,2009,3,short,6,320
GBRTENW,2009,3,short,7,1884
GBRTENW,2009,3,short,8,812
GBRTENW,2009,3,short,9,261
GBRTENW,2009,3,short,10,551
GBRTENW,2009,3,short,11,702
GBRTENW,2009,3,short,12,465
GBRTENW,2009,3,short,13,111
GBRTENW,2009,3,short,14,225
GBRTENW,2009,3,short,15,71
GBRTENW,2009,3,short,16,333
GBRTENW,2010,3,short,0,8857
GBRTENW,2010,3,short,1,92
GBRTENW,2010,3,short,2,2566
GBRTENW,2010,3,short,3,19
GBRTENW,2010,3,short,4,133
GBRTENW,2010,3,short,5,369
GBRTENW,2010,3,short,6,337
GBRTENW,2010,3,short,7,1846
GBRTENW,2010,3,short,8,803
GBRTENW,2010,3,short,9,258
GBRTENW,2010,3,short,10,521
GBRTENW,2010,3,short,11,718
GBRTENW,2010,3,short,12,469
GBRTENW,2010,3,short,13,111
GBRTENW,2010,3,short,14,230
GBRTENW,2010,3,short,15,67
GBRTENW,2010,3,short,16,318
GBRTENW,2011,3,short,0,8627
GBRTENW,2011,3,short,1,98
GBRTENW,2011,3,short,2,2579
